company_ntn,person_cnic,person_name,role,shareholding_percent
8393183-0,17301-8526891-2,Rabia Butt,CEO/Director,100
9161864-4,34603-0980724-1,Muhammad Zain Malik,CEO/Director,51
9153627-0,61101-4591854-7,Muhammad Nauman Warraich,CEO/Director,60
8722185-9,17301-6063442-5,Bilawal Rana,CEO/Director,100
7941855-7,35202-7398877-4,Fatima Cheema,CEO/Director,60
1894903-1,35202-2725482-3,Fahad Awan,CEO/Director,100
4058205-7,34101-9946927-9,Muhammad Ali Bhatti,CEO/Director,100
9801297-7,36302-2256184-3,Usman Raja,CEO/Director,51
8767612-4,42101-8107759-5,Muhammad Hassan Janjua,CEO/Director,100
4334246-8,42101-1262006-5,Muhammad Danish Raja,CEO/Director,60
8885258-2,42101-4041918-5,Zain Sandhu,CEO/Director,51
7924390-4,33100-9658157-6,Rabia Satti,CEO/Director,100
3529269-2,17301-2972026-3,Farhan Cheema,CEO/Director,51
9335121-9,34603-2037760-7,Zain Warraich,CEO/Director,51
8696570-1,17301-2546634-7,Muhammad Hussain Awan,CEO/Director,51
7124983-8,33100-8105831-7,Rizwan Awan,CEO/Director,60
1676712-1,17301-7649050-1,Junaid Satti,CEO/Director,75
5434370-4,33100-6816038-6,Aqsa Qureshi,CEO/Director,75
6459864-7,17301-4322365-1,Muhammad Bilawal Awan,CEO/Director,51
4668425-0,34603-4016353-3,Zain Warraich,CEO/Director,60
1227953-1,42101-5383861-2,Sadia Awan,CEO/Director,60
7871906-0,34603-2832678-3,Muhammad Usman Dar,CEO/Director,75
6842110-0,17301-1092705-1,Rizwan Abbasi,CEO/Director,60
2506786-1,35202-5546424-1,Muhammad Janjua,CEO/Director,75
2330973-7,35202-4799386-1,Tariq Warraich,CEO/Director,100
2322605-2,42101-7759468-1,Usman Sheikh,CEO/Director,51
8235201-8,35202-5349541-5,Muhammad Rizwan Dar,CEO/Director,100
8154190-4,35202-9608261-5,Muhammad Nauman Khan,CEO/Director,100
3595290-0,34603-2555476-8,Kiran Rana,CEO/Director,75
6298742-9,33100-4464884-3,Muhammad Farhan Abbasi,CEO/Director,75
6543564-2,35202-7766483-9,Muhammad Salman Sandhu,CEO/Director,51
7039224-4,34603-1752298-1,Salman Qureshi,CEO/Director,60
5512606-0,34603-3238934-6,Areeba Khan,CEO/Director,75
6968302-3,33100-9222423-1,Umar Warraich,CEO/Director,100
4551147-0,34603-2520637-7,Hussain Rana,CEO/Director,51
3738030-2,34603-3634140-9,Umar Cheema,CEO/Director,75
5117606-6,37405-4183019-8,Maryam Abbasi,CEO/Director,75
5320786-5,17301-3196388-2,Mehwish Raja,CEO/Director,51
7122763-1,35202-7453517-4,Sobia Dar,CEO/Director,51
6140296-7,42101-8860484-3,Salman Malik,CEO/Director,75
5665180-5,34603-3823772-3,Muhammad Saad Khan,CEO/Director,60
7520637-7,33100-6742398-7,Muhammad Usman Raja,CEO/Director,60
5387246-3,17301-5393749-4,Sana Rana,CEO/Director,75
5900127-4,33100-3732473-6,Fatima Rana,CEO/Director,75
7042572-1,34603-5087223-5,Muhammad Kamran Warraich,CEO/Director,51
2135331-3,36302-3100737-6,Komal Cheema,CEO/Director,60
9734654-0,34101-8335969-0,Sidra Abbasi,CEO/Director,51
5648862-3,42101-2785069-5,Usman Malik,CEO/Director,75
4217725-7,37405-5143252-7,Abdullah Warraich,CEO/Director,60
2793277-3,34603-5849063-1,Umar Janjua,CEO/Director,51
2792003-7,37405-1864306-3,Hassan Khan,CEO/Director,60
3202604-5,61101-2651059-0,Hina Satti,CEO/Director,75
7705827-9,61101-3987423-5,Muhammad Danish Sandhu,CEO/Director,51
1418476-6,42101-4849475-9,Muhammad Sandhu,CEO/Director,60
6881693-1,35202-9124613-7,Hussain Rana,CEO/Director,100
1242682-0,61101-0059337-1,Muhammad Zain Gondal,CEO/Director,75
5766708-5,35202-4885224-9,Bilawal Sheikh,CEO/Director,60
1730285-3,34603-2979038-9,Muhammad Faizan Khan,CEO/Director,75
6580396-9,36302-8594684-1,Muhammad Bilal Butt,CEO/Director,75
5354820-8,33100-7601179-9,Hamza Abbasi,CEO/Director,51
1111129-7,34603-2208306-6,Sadia Warraich,CEO/Director,100
7234380-9,37405-6984025-8,Saba Butt,CEO/Director,75
1241962-5,33100-2565355-0,Iqra Mir,CEO/Director,75
8591500-9,37405-9677713-7,Muhammad Salman Khan,CEO/Director,51
6492984-5,35202-6098682-3,Muhammad Bilal Warraich,CEO/Director,75
3380698-7,35202-2209714-0,Komal Khan,CEO/Director,60
2960091-8,61101-7993870-7,Muhammad Bilawal Tarar,CEO/Director,100
7674722-2,37405-9342637-1,Tariq Rana,CEO/Director,100
5175535-1,42101-0401307-8,Sobia Mir,CEO/Director,100
7906267-6,34603-6682365-4,Fatima Malik,CEO/Director,60
7942394-1,37405-9009704-7,Asad Satti,CEO/Director,51
2451840-7,42101-2439646-5,Ahmed Gondal,CEO/Director,51
1889121-7,37405-1640352-1,Farhan Raja,CEO/Director,51
2115624-6,42101-5472550-7,Abdullah Awan,CEO/Director,60
2224207-8,61101-5132921-5,Muhammad Butt,CEO/Director,75
2308513-1,35202-0639554-3,Muhammad Hussain Satti,CEO/Director,75
4489026-2,35202-6157309-7,Muhammad Gondal,CEO/Director,60
7911133-8,37405-5180387-5,Danish Awan,CEO/Director,100
4692289-9,36302-7171651-7,Nauman Rana,CEO/Director,75
7158862-2,17301-6050852-9,Muhammad Imran Bhatti,CEO/Director,51
4267953-2,35202-2578855-0,Noor Satti,CEO/Director,51
2605818-6,61101-6497693-3,Muhammad Bilawal Mughal,CEO/Director,51
8801933-5,35202-4850738-1,Muhammad Bilawal Cheema,CEO/Director,60
7300972-4,35202-0794012-5,Hamza Tarar,CEO/Director,75
7408077-6,17301-0698535-7,Muhammad Khan,CEO/Director,75
2728306-2,35202-0300753-6,Nimra Satti,CEO/Director,60
4521925-7,35202-6670018-1,Muhammad Bhatti,CEO/Director,51
5958372-0,35202-3087557-2,Sobia Raja,CEO/Director,75
2935633-6,36302-4481611-1,Muhammad Umar Abbasi,CEO/Director,75
8923725-3,61101-4883416-3,Tariq Raja,CEO/Director,60
5092075-9,36302-1824398-8,Maryam Janjua,CEO/Director,60
1106006-6,33100-2161461-9,Umar Dar,CEO/Director,75
8879361-1,34603-0251750-5,Abdullah Satti,CEO/Director,100
2998047-8,61101-8201841-1,Muhammad Tarar,CEO/Director,60
4918538-1,37405-3715366-3,Shahzad Raja,CEO/Director,100
1252661-3,34603-1420765-3,Faizan Cheema,CEO/Director,51
8185639-9,36302-2109147-5,Usman Satti,CEO/Director,51
2652650-9,42101-2254807-9,Junaid Awan,CEO/Director,51
1171321-5,61101-9802238-7,Ahmed Bhatti,CEO/Director,100
9560623-6,17301-4081520-7,Muhammad Hussain Warraich,CEO/Director,100
9903212-5,34603-3965285-3,Nauman Satti,CEO/Director,60
8191598-4,35202-9129058-3,Faizan Butt,CEO/Director,60
5254934-6,17301-4934771-6,Amna Sandhu,CEO/Director,51
6248185-5,17301-2088287-4,Noor Abbasi,CEO/Director,100
7695456-4,33100-7751094-5,Muhammad Salman Gondal,CEO/Director,51
2719357-3,34603-8984950-7,Muhammad Umar Abbasi,CEO/Director,100
2624250-4,35202-1497968-0,Sobia Janjua,CEO/Director,75
3028843-6,42101-9741097-7,Imran Dar,CEO/Director,60
1733442-5,33100-7093357-7,Muhammad Farhan Mughal,CEO/Director,75
9350132-6,35202-4153521-5,Bilawal Janjua,CEO/Director,60
9234383-6,34101-5353585-1,Rizwan Sheikh,CEO/Director,100
8428160-0,37405-0694163-8,Sana Mughal,CEO/Director,100
2715590-3,36302-3838616-0,Mehwish Abbasi,CEO/Director,100
4636801-8,34101-3258980-1,Farhan Dar,CEO/Director,75
3251522-6,34101-6981122-3,Usman Raja,CEO/Director,100
2369185-4,37405-2662778-7,Muhammad Ahmed Mughal,CEO/Director,60
4979958-5,17301-7606801-0,Hina Satti,CEO/Director,75
9704452-5,35202-9204106-5,Tariq Janjua,CEO/Director,51
3980073-2,36302-6292786-5,Muhammad Kamran Khan,CEO/Director,100
9345712-8,33100-1237058-9,Farhan Khan,CEO/Director,51
6467615-1,42101-0688664-2,Komal Dar,CEO/Director,60
6679203-8,17301-6190896-4,Komal Awan,CEO/Director,75
4513482-2,34101-2627056-5,Muhammad Faizan Gondal,CEO/Director,51
8097105-9,36302-1101451-4,Maryam Malik,CEO/Director,60
3196276-4,61101-1671462-3,Hamza Butt,CEO/Director,100
5474932-6,17301-3728329-3,Shahzad Tarar,CEO/Director,100
2359262-0,17301-1625435-1,Junaid Abbasi,CEO/Director,75
4543670-5,34603-6023112-7,Saad Cheema,CEO/Director,100
6996748-0,33100-6634604-7,Muhammad Rizwan Sheikh,CEO/Director,100
7342556-1,33100-9111153-5,Imran Butt,CEO/Director,51
2603832-4,61101-7928404-7,Muhammad Waqas Janjua,CEO/Director,75
8729144-9,34101-5130947-1,Adnan Cheema,CEO/Director,60
6337807-6,34101-3979865-5,Farhan Sandhu,CEO/Director,75
8642681-7,61101-3756850-5,Ali Qureshi,CEO/Director,51
6170721-3,35202-4857326-7,Abdullah Abbasi,CEO/Director,75
7283631-6,34101-7483030-3,Muhammad Shahzad Gondal,CEO/Director,75
3879415-2,33100-6235360-5,Fahad Mughal,CEO/Director,100
9304179-3,61101-1675313-2,Sobia Bhatti,CEO/Director,51
3528867-3,36302-1434563-7,Farhan Satti,CEO/Director,51
1445537-8,36302-5510574-9,Kamran Raja,CEO/Director,60
5139977-4,61101-9902257-5,Muhammad Tarar,CEO/Director,75
1675478-2,34603-2348921-1,Ahmed Malik,CEO/Director,100
9493751-1,35202-6880991-1,Muhammad Ahmed Tarar,CEO/Director,51
6118371-2,33100-2471315-1,Muhammad Umar Janjua,CEO/Director,60
3682484-0,34101-2500633-7,Muhammad Shahzad Bhatti,CEO/Director,100
2027124-3,34603-4858193-2,Maryam Bhatti,CEO/Director,51
9630707-6,17301-0059659-5,Farhan Chaudhry,CEO/Director,51
9189815-6,37405-2093941-8,Komal Gondal,CEO/Director,100
9228925-3,37405-6999289-7,Muhammad Hassan Abbasi,CEO/Director,60
5602388-2,17301-9347330-2,Amna Mughal,CEO/Director,60
1400523-7,34603-7460301-3,Hamza Khan,CEO/Director,100
7682822-8,34603-2676576-4,Fatima Satti,CEO/Director,100
1750112-6,35202-7577919-2,Nimra Janjua,CEO/Director,60
9629742-5,61101-7903533-1,Farhan Tarar,CEO/Director,60
5145652-1,36302-5332214-7,Shahzad Janjua,CEO/Director,100
5457172-0,36302-9964865-1,Muhammad Hamza Abbasi,CEO/Director,100
6267234-6,34101-3106423-1,Abdullah Janjua,CEO/Director,51
7692974-1,17301-1293044-9,Danish Gondal,CEO/Director,60
7129772-6,36302-5543554-7,Ahmed Awan,CEO/Director,51
2253639-7,36302-2294254-7,Muhammad Zain Gondal,CEO/Director,51
3194445-4,36302-8187292-3,Fahad Warraich,CEO/Director,100
1439189-3,36302-8854791-1,Muhammad Rizwan Qureshi,CEO/Director,60
4087330-2,61101-5639753-3,Adnan Chaudhry,CEO/Director,75
4791096-3,61101-5843894-3,Adnan Warraich,CEO/Director,75
2523013-7,17301-1435830-8,Noor Warraich,CEO/Director,51
5884760-9,37405-7146656-1,Muhammad Farhan Warraich,CEO/Director,60
5702113-6,34603-6880882-5,Muhammad Fahad Cheema,CEO/Director,51
8917316-0,36302-3035078-5,Muhammad Kamran Sandhu,CEO/Director,51
7421538-4,34101-2295660-9,Muhammad Rizwan Cheema,CEO/Director,51
3444157-7,34101-3920526-6,Rabia Rana,CEO/Director,51
5099586-5,33100-0029716-5,Rizwan Bhatti,CEO/Director,51
6362859-6,42101-6773360-7,Muhammad Kamran Mir,CEO/Director,51
2103221-1,34603-8095879-7,Abdullah Rana,CEO/Director,51
3761594-0,36302-5116559-3,Usman Awan,CEO/Director,60
4003976-9,17301-8841947-4,Zainab Raja,CEO/Director,60
3469831-8,17301-8542161-1,Tariq Bhatti,CEO/Director,51
6876174-5,34101-8925692-1,Nauman Mir,CEO/Director,75
3131761-9,34101-9359703-7,Danish Tarar,CEO/Director,60
3079380-2,34101-2326064-1,Kamran Janjua,CEO/Director,100
2066636-5,61101-2103925-1,Muhammad Danish Sheikh,CEO/Director,60
3624135-2,34101-6896701-6,Zainab Cheema,CEO/Director,75
8615140-2,35202-9768391-1,Muhammad Asad Tarar,CEO/Director,60
8596341-2,34101-0923164-2,Sadia Janjua,CEO/Director,100
6903464-4,61101-9458286-2,Noor Janjua,CEO/Director,75
1326366-3,33100-1775601-1,Faizan Satti,CEO/Director,51
3957581-7,33100-7292187-6,Areeba Raja,CEO/Director,60
2124119-0,34603-5604778-5,Ahmed Qureshi,CEO/Director,60
8080334-0,34101-2549814-1,Saad Khan,CEO/Director,75
3794230-1,34603-2734844-3,Saad Qureshi,CEO/Director,51
7335781-6,34603-8081499-9,Tariq Bhatti,CEO/Director,60
2514094-4,42101-8112320-6,Sadia Raja,CEO/Director,60
5381383-5,34603-1251360-6,Areeba Dar,CEO/Director,60
8187977-8,17301-8870343-5,Muhammad Faizan Chaudhry,CEO/Director,60
1013766-8,42101-8021089-1,Junaid Bhatti,CEO/Director,60
7407975-6,37405-7921098-3,Imran Malik,CEO/Director,60
8118981-5,17301-0439886-7,Nauman Satti,CEO/Director,60
8921832-9,36302-6984196-2,Amna Khan,CEO/Director,51
8570227-7,17301-3060239-5,Fahad Abbasi,CEO/Director,51
2265820-8,33100-2309993-1,Muhammad Zain Janjua,CEO/Director,100
9626110-2,36302-1016140-9,Fahad Cheema,CEO/Director,100
3084338-1,36302-1754980-8,Sidra Raja,CEO/Director,51
9156268-6,33100-7128577-7,Muhammad Zain Abbasi,CEO/Director,60
2977225-6,34101-8716173-7,Muhammad Imran Mughal,CEO/Director,51
2391110-9,34603-6601599-3,Hassan Abbasi,CEO/Director,60
1068510-2,61101-1163857-3,Usman Malik,CEO/Director,51
6965039-2,17301-3000219-3,Danish Bhatti,CEO/Director,51
2970102-8,34603-2838507-1,Muhammad Rizwan Qureshi,CEO/Director,75
7217916-4,42101-5034786-9,Imran Awan,CEO/Director,75
3205333-0,35202-3061598-5,Danish Sheikh,CEO/Director,75
2951928-2,42101-1709956-8,Hina Satti,CEO/Director,60
2346100-3,61101-2890366-5,Saad Malik,CEO/Director,60
2948189-9,42101-6710668-1,Muhammad Zain Sandhu,CEO/Director,51
1897540-7,42101-7924328-7,Tariq Satti,CEO/Director,60
5416429-3,33100-9050854-1,Faizan Warraich,CEO/Director,100
7865629-7,61101-9907254-5,Muhammad Umar Abbasi,CEO/Director,51
8113051-7,17301-1556292-9,Ahmed Dar,CEO/Director,75
8845749-8,34101-8858204-5,Muhammad Zain Tarar,CEO/Director,100
4328732-9,37405-6274829-6,Rabia Sheikh,CEO/Director,51
3219814-0,36302-7337330-6,Fatima Gondal,CEO/Director,60
4051637-3,37405-6573727-4,Komal Rana,CEO/Director,60
7470368-2,33100-8132012-2,Maryam Bhatti,CEO/Director,60
6754463-3,42101-2444195-1,Salman Sandhu,CEO/Director,75
8649399-1,17301-9940105-9,Hassan Satti,CEO/Director,100
5386430-7,42101-8333767-4,Maryam Abbasi,CEO/Director,100
8556516-0,37405-1384311-3,Asad Awan,CEO/Director,60
3563694-3,36302-7431127-7,Shahzad Malik,CEO/Director,100
8734395-4,34603-9584639-6,Rabia Dar,CEO/Director,51
2156167-2,34603-8219420-1,Muhammad Fahad Dar,CEO/Director,60
1222045-3,17301-7782730-2,Rabia Satti,CEO/Director,51
2319259-4,42101-2426237-7,Farhan Rana,CEO/Director,60
6925755-7,36302-2852827-7,Muhammad Bilawal Qureshi,CEO/Director,51
2763501-4,37405-4747627-8,Sobia Awan,CEO/Director,60
3154548-1,34603-4990308-7,Muhammad Rizwan Rana,CEO/Director,51
8549056-1,33100-3401831-3,Salman Abbasi,CEO/Director,51
6723534-1,42101-6295120-9,Muhammad Satti,CEO/Director,100
1756618-5,34101-4441693-3,Muhammad Adnan Mir,CEO/Director,75
8993284-0,42101-0640784-2,Komal Malik,CEO/Director,100
3810021-3,34603-0834977-4,Maryam Raja,CEO/Director,60
6998474-7,37405-5137276-7,Junaid Mir,CEO/Director,51
8686944-2,17301-5966207-9,Faizan Bhatti,CEO/Director,51
9910226-3,34101-0338944-0,Maryam Warraich,CEO/Director,100
5109308-1,61101-5715691-1,Shahzad Raja,CEO/Director,100
5699183-3,37405-5984928-8,Komal Mir,CEO/Director,60
6886008-5,17301-1356363-1,Muhammad Bilal Gondal,CEO/Director,60
3280005-6,36302-0283763-3,Muhammad Usman Janjua,CEO/Director,60
4949991-2,36302-9861786-8,Sidra Gondal,CEO/Director,100
6942193-2,34101-8648748-1,Muhammad Shahzad Mughal,CEO/Director,60
8418982-4,42101-4607513-9,Asad Tarar,CEO/Director,60
6280185-9,33100-5449283-2,Nimra Rana,CEO/Director,60
4525783-1,42101-7496931-5,Muhammad Hamza Mir,CEO/Director,60
1279005-9,36302-8649760-9,Muhammad Danish Warraich,CEO/Director,75
9921846-5,34101-8323437-4,Iqra Butt,CEO/Director,75
1073605-3,17301-8602896-9,Faizan Sheikh,CEO/Director,100
5674565-8,61101-5717869-0,Fatima Mir,CEO/Director,75
6229719-6,34101-5742855-9,Muhammad Usman Gondal,CEO/Director,100
4458469-2,42101-3529221-9,Muhammad Bilal Chaudhry,CEO/Director,60
3946920-2,36302-4599420-9,Muhammad Warraich,CEO/Director,75
9179006-0,34101-8774808-9,Waqas Tarar,CEO/Director,75
1490445-8,35202-6265521-9,Muhammad Khan,CEO/Director,51
3375782-5,34101-7833424-7,Muhammad Hamza Rana,CEO/Director,51
1349587-8,42101-2042936-0,Aqsa Raja,CEO/Director,75
9795988-2,17301-1811995-6,Komal Mughal,CEO/Director,51
2994114-7,61101-7210288-5,Muhammad Tariq Rana,CEO/Director,100
6515152-1,42101-8323196-3,Muhammad Faizan Sheikh,CEO/Director,75
8436075-0,34101-3551667-9,Danish Khan,CEO/Director,60
6904358-9,61101-5684382-7,Muhammad Danish Gondal,CEO/Director,51
8515017-5,61101-5465841-1,Muhammad Abdullah Chaudhry,CEO/Director,75
8876102-9,36302-0600291-9,Muhammad Bilawal Butt,CEO/Director,75
9042042-8,35202-3718765-5,Muhammad Salman Tarar,CEO/Director,75
3912860-1,33100-6710931-4,Noor Mughal,CEO/Director,75
1907138-4,34603-5438782-9,Hussain Mughal,CEO/Director,100
9259877-2,61101-6001700-7,Muhammad Bilal Cheema,CEO/Director,60
8133221-1,37405-3564960-3,Muhammad Tariq Tarar,CEO/Director,100
9847141-9,61101-6432994-6,Amna Gondal,CEO/Director,60
6065494-3,42101-9254451-5,Faizan Malik,CEO/Director,75
2310103-0,36302-9316450-5,Muhammad Zain Malik,CEO/Director,51
3677330-8,33100-2779107-7,Muhammad Umar Rana,CEO/Director,100
5178486-5,37405-7562314-0,Areeba Mughal,CEO/Director,100
1266219-1,35202-7254746-1,Muhammad Asad Malik,CEO/Director,100
1351577-1,36302-7678099-5,Ali Khan,CEO/Director,100
2286943-2,34603-6088049-8,Sana Tarar,CEO/Director,100
6801213-4,37405-6633192-1,Hussain Mughal,CEO/Director,75
5624512-1,42101-6329605-3,Kamran Malik,CEO/Director,75
4314138-3,33100-5201442-7,Adnan Cheema,CEO/Director,100
7457839-3,17301-3075481-8,Zainab Mughal,CEO/Director,60
7400357-1,35202-7964477-1,Hussain Satti,CEO/Director,60
2096992-0,42101-9873830-7,Muhammad Bilal Tarar,CEO/Director,60
8617517-4,35202-1978194-9,Kamran Cheema,CEO/Director,75
5370210-1,34603-4393528-5,Zain Khan,CEO/Director,100
3791682-7,34101-2254489-0,Kiran Raja,CEO/Director,100
7661684-2,35202-8957410-7,Muhammad Kamran Qureshi,CEO/Director,60
1131547-7,33100-2876670-2,Sadia Raja,CEO/Director,60
4449581-5,61101-3437726-7,Shahzad Sheikh,CEO/Director,51
7053428-1,37405-7688347-7,Zain Mughal,CEO/Director,60
5659585-6,33100-4042861-3,Muhammad Ali Warraich,CEO/Director,51
1359850-8,37405-3450925-9,Muhammad Fahad Gondal,CEO/Director,60
5656574-1,17301-1309221-0,Aqsa Warraich,CEO/Director,100
3496917-5,34603-6363276-5,Muhammad Faizan Bhatti,CEO/Director,60
5808110-2,42101-9054023-7,Muhammad Tariq Mughal,CEO/Director,60
1168672-1,61101-3702149-3,Muhammad Awan,CEO/Director,75
9984360-0,61101-4443407-1,Imran Tarar,CEO/Director,75
2856593-2,34101-0929645-5,Muhammad Faizan Chaudhry,CEO/Director,75
8557507-5,17301-5365345-6,Kiran Janjua,CEO/Director,100
7230947-5,17301-4900664-1,Rizwan Malik,CEO/Director,75
2928469-4,36302-9637784-6,Areeba Mir,CEO/Director,75
9577953-9,36302-7051362-9,Muhammad Asad Awan,CEO/Director,75
8984696-3,37405-1184706-3,Muhammad Danish Malik,CEO/Director,100
9989355-9,17301-8682937-6,Fatima Janjua,CEO/Director,100
7062947-0,61101-6012545-3,Muhammad Zain Janjua,CEO/Director,60
2334778-9,33100-6022521-7,Zain Khan,CEO/Director,60
3117489-3,37405-2965632-5,Muhammad Umar Mughal,CEO/Director,60
1852391-2,34603-9530322-9,Fahad Janjua,CEO/Director,100
2515427-0,37405-2632836-9,Hussain Tarar,CEO/Director,51
6027347-5,42101-4038124-5,Rizwan Raja,CEO/Director,51
2296551-1,42101-2861622-9,Muhammad Hamza Warraich,CEO/Director,51
2071661-4,61101-9867373-0,Zainab Qureshi,CEO/Director,51
3041313-1,61101-4676961-1,Nauman Mir,CEO/Director,51
1169238-0,36302-4564153-8,Rabia Dar,CEO/Director,51
9334257-9,34101-8721112-7,Muhammad Salman Chaudhry,CEO/Director,51
5258296-3,42101-5769902-7,Kamran Raja,CEO/Director,75
8466157-5,37405-8229432-7,Muhammad Fahad Mir,CEO/Director,60
3903084-7,42101-6702103-7,Muhammad Shahzad Bhatti,CEO/Director,51
3296693-3,42101-4616074-5,Danish Bhatti,CEO/Director,100
7795723-1,17301-5200080-5,Danish Gondal,CEO/Director,100
4452978-6,37405-7958259-4,Mehwish Dar,CEO/Director,75
9349303-2,34603-1045351-6,Hira Abbasi,CEO/Director,75
1226266-5,42101-9326071-1,Ahmed Sheikh,CEO/Director,60
2601184-8,42101-6811056-8,Nimra Raja,CEO/Director,75
6376022-8,17301-9786709-1,Ali Satti,CEO/Director,51
6072223-2,33100-1917442-7,Saad Chaudhry,CEO/Director,75
1425128-3,34101-9416776-7,Nauman Qureshi,CEO/Director,75
9982938-1,33100-7876312-1,Muhammad Saad Dar,CEO/Director,75
4054535-3,36302-7059261-7,Ali Sandhu,CEO/Director,60
8998465-8,34603-5598142-7,Junaid Warraich,CEO/Director,100
7759910-7,42101-2580362-3,Muhammad Bilal Sheikh,CEO/Director,100
7994790-6,34101-7511843-1,Muhammad Saad Raja,CEO/Director,51
1451109-6,17301-8666279-1,Muhammad Asad Satti,CEO/Director,60
3408118-5,35202-7507253-2,Saba Sheikh,CEO/Director,75
1439340-3,42101-9384658-8,Mehwish Mir,CEO/Director,100
9222105-9,61101-2139458-9,Muhammad Saad Abbasi,CEO/Director,60
1659590-2,37405-2811955-9,Muhammad Rana,CEO/Director,60
5950398-9,36302-4348010-9,Muhammad Saad Dar,CEO/Director,75
6544022-3,37405-5578311-1,Rizwan Abbasi,CEO/Director,60
9048731-3,36302-1334112-9,Muhammad Farhan Mughal,CEO/Director,51
1372943-4,42101-2401768-9,Danish Chaudhry,CEO/Director,75
9089165-1,61101-4500434-7,Muhammad Adnan Dar,CEO/Director,100
8238675-3,61101-7313403-4,Komal Khan,CEO/Director,60
3577965-2,37405-3587978-1,Kamran Janjua,CEO/Director,75
7725777-5,17301-9355197-1,Farhan Mughal,CEO/Director,75
9234834-8,61101-5004153-7,Muhammad Farhan Dar,CEO/Director,60
1673195-3,61101-3014681-4,Komal Butt,CEO/Director,60
2237471-8,34603-8649469-9,Asad Janjua,CEO/Director,51
1000567-4,34603-9153463-0,Fatima Mir,CEO/Director,75
2607022-9,34603-9188271-3,Junaid Malik,CEO/Director,51
2639925-4,37405-1383317-1,Muhammad Umar Butt,CEO/Director,51
4220558-0,36302-0158329-3,Bilal Warraich,CEO/Director,100
5779387-1,17301-4032970-9,Waqas Tarar,CEO/Director,100
1373868-2,36302-3761786-7,Hussain Rana,CEO/Director,51
4522232-9,36302-1585938-8,Sobia Mir,CEO/Director,75
9778507-8,42101-3699376-7,Muhammad Butt,CEO/Director,75
2612193-3,34101-9262578-9,Zain Gondal,CEO/Director,75
9808444-5,34101-5181736-4,Saba Qureshi,CEO/Director,60
8156751-2,37405-7582804-9,Muhammad Rizwan Dar,CEO/Director,51
5668726-8,34101-9659668-9,Muhammad Tariq Tarar,CEO/Director,51
5937631-9,34101-7518211-1,Muhammad Salman Chaudhry,CEO/Director,75
3864652-3,37405-1825244-9,Bilawal Chaudhry,CEO/Director,75
7931673-4,17301-3409120-3,Muhammad Hassan Gondal,CEO/Director,60
5758346-2,61101-3526363-6,Mehwish Cheema,CEO/Director,75
3997612-1,61101-5964773-7,Muhammad Khan,CEO/Director,60
9486373-6,36302-3228835-9,Muhammad Waqas Mughal,CEO/Director,75
8239507-2,34603-1574536-0,Komal Dar,CEO/Director,51
6510522-7,33100-7695727-6,Zainab Sandhu,CEO/Director,60
7870151-9,34101-4649953-8,Amna Qureshi,CEO/Director,51
6200811-0,36302-9549381-7,Muhammad Ahmed Sheikh,CEO/Director,100
6484180-1,42101-3732779-2,Nimra Warraich,CEO/Director,100
5814654-3,33100-8207081-7,Farhan Chaudhry,CEO/Director,75
8055811-3,34603-8428984-1,Ali Malik,CEO/Director,60
3667299-0,17301-7423930-9,Muhammad Hassan Qureshi,CEO/Director,51
5293042-9,42101-7669594-5,Muhammad Mir,CEO/Director,51
4462781-9,35202-7800049-9,Muhammad Faizan Warraich,CEO/Director,60
5030712-4,61101-2583224-3,Saad Sheikh,CEO/Director,100
7876944-7,61101-7735169-7,Muhammad Malik,CEO/Director,75
6719392-3,37405-3379732-2,Sadia Mir,CEO/Director,75
8279591-5,42101-3874302-1,Tariq Mughal,CEO/Director,51
1557911-1,35202-2635132-9,Farhan Cheema,CEO/Director,75
7304645-5,34101-9403346-2,Nimra Malik,CEO/Director,51
6276558-7,34603-4326026-7,Muhammad Imran Mir,CEO/Director,75
4741070-2,34101-7213230-1,Muhammad Junaid Awan,CEO/Director,60
1880690-4,17301-5168300-7,Bilawal Sheikh,CEO/Director,75
4295742-2,61101-0071585-5,Umar Sheikh,CEO/Director,60
7401328-3,34603-0966379-1,Shahzad Qureshi,CEO/Director,75
6318847-6,61101-4185900-7,Hassan Abbasi,CEO/Director,60
4194707-1,61101-3753777-3,Shahzad Rana,CEO/Director,100
4091842-6,36302-9261690-8,Fatima Awan,CEO/Director,75
9167766-2,61101-9697154-4,Aqsa Awan,CEO/Director,51
4900745-2,36302-4282558-2,Hina Bhatti,CEO/Director,60
8879610-2,35202-4881141-5,Muhammad Rizwan Abbasi,CEO/Director,100
1056207-6,36302-7126213-3,Bilawal Janjua,CEO/Director,60
8751582-2,61101-3468447-1,Hassan Abbasi,CEO/Director,60
7776732-5,61101-0684191-6,Maryam Dar,CEO/Director,60
6929704-9,37405-4166345-2,Sana Malik,CEO/Director,60
9158198-8,61101-5205192-5,Muhammad Farhan Satti,CEO/Director,51
4864086-5,35202-0409887-5,Muhammad Shahzad Janjua,CEO/Director,100
8053819-0,34101-2760546-4,Iqra Abbasi,CEO/Director,75
1232780-5,34603-5229567-7,Usman Mughal,CEO/Director,75
1034813-0,35202-3924179-2,Komal Bhatti,CEO/Director,51
8162403-3,36302-3061076-9,Salman Qureshi,CEO/Director,75
4662918-6,34603-7390594-7,Muhammad Danish Qureshi,CEO/Director,51
